,accepted_name_w_author,example_compound_name,Standard_SMILES,MAIP_SMILES,SMILES,InChIKey,CAS ID,Source,accepted_ipni_id,accepted_name,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,InChIKey_simp,Genus
0,Catalpa bignonioides Walter,(+)-sesamin,c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,C1C2C(COC2C3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6,PEYUIKBAABKQKQ-AFHBHXEDSA-N,607-80-7,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,PEYUIKBAABKQKQ,Catalpa
1,Catalpa bignonioides Walter,"(1R)-5alpha-[6-O-(4-Hydroxybenzoyl)-beta-D-glucopyranosyloxy]-4beta-(2-hydroxyethyl)-2,3-bis(hydroxymethyl)-2-cyclopenten-1alpha-ol",O=C(OCC1OC(OC2C(O)C(CO)=C(CO)C2CCO)C(O)C(O)C1O)c1ccc(O)cc1,O=C(OCC1OC(OC2C(O)C(CO)=C(CO)C2CCO)C(O)C(O)C1O)c1ccc(O)cc1,O=C(OCC1OC(OC2C(O)C(=C(CO)C2CCO)CO)C(O)C(O)C1O)C3=CC=C(O)C=C3,UKKKMOPYFVRHGS-GOMYGBQYSA-N,,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,UKKKMOPYFVRHGS,Catalpa
2,Catalpa bignonioides Walter,"(1S)-1alpha-(beta-D-Glucopyranosyloxy)-1,4aalpha,5,6,7,7aalpha-hexahydro-5alpha-(4-hydroxybenzoyloxy)-7-hydroxymethylcyclopenta[c]pyran-6beta,7alpha-diol",O=C(OC1C2C=COC(OC3OC(CO)C(O)C(O)C3O)C2C(O)(CO)C1O)c1ccc(O)cc1,O=C(OC1C2C=COC(OC3OC(CO)C(O)C(O)C3O)C2C(O)(CO)C1O)c1ccc(O)cc1,O=C(OC1C(O)C(O)(CO)C2C(OC=CC12)OC3OC(CO)C(O)C(O)C3O)C4=CC=C(O)C=C4,LUGJLRPURFUBRI-WGRWJNDCSA-N,,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,LUGJLRPURFUBRI,Catalpa
3,Catalpa bignonioides Walter,"(1S,2S,4S,5S,6R,10S)-2-(hydroxymethyl)-10-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-3,9-dioxatricyclo[4.4.0.0²,⁴]dec-7-en-5-yl (2E)-3-(4-hydroxyphenyl)prop-2-enoate",O=C(C=Cc1ccc(O)cc1)OC1C2C=COC(OC3OC(CO)C(O)C(O)C3O)C2C2(CO)OC12,O=C(C=Cc1ccc(O)cc1)OC1C2C=COC(OC3OC(CO)C(O)C(O)C3O)C2C2(CO)OC12,O=C(OC1C2OC2(CO)C3C(OC=CC13)OC4OC(CO)C(O)C(O)C4O)C=CC5=CC=C(O)C=C5,SKNVKBJSSSJNCI-UIBFFPKISA-N,72514-90-0,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,SKNVKBJSSSJNCI,Catalpa
4,Catalpa bignonioides Walter,"(1S,2S,6R)-2-(hydroxymethyl)-10-{[(2S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-3,9-dioxatricyclo[4.4.0.0²,⁴]dec-7-en-5-yl 4-hydroxybenzoate",O=C(OC1C2C=COC(OC3OC(CO)C(O)C(O)C3O)C2C2(CO)OC12)c1ccc(O)cc1,O=C(OC1C2C=COC(OC3OC(CO)C(O)C(O)C3O)C2C2(CO)OC12)c1ccc(O)cc1,O=C(OC1C2OC2(CO)C3C(OC=CC13)OC4OC(CO)C(O)C(O)C4O)C5=CC=C(O)C=C5,UXSACQOOWZMGSE-BNRSMMQNSA-N,6736-85-2,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,UXSACQOOWZMGSE,Catalpa
5,Catalpa bignonioides Walter,"(1S,4aalpha,7aalpha)-1alpha-(beta-D-Glucopyranosyloxy)hexahydro-5alpha-(4-hydroxybenzoyloxy)-3beta,7beta-(epoxymethano)cyclopenta[c]pyran-6beta,7(6H)-diol",O=C(OC1C2CC3OCC(O)(C1O)C2C(OC1OC(CO)C(O)C(O)C1O)O3)c1ccc(O)cc1,O=C(OC1C2CC3OCC(O)(C1O)C2C(OC1OC(CO)C(O)C(O)C1O)O3)c1ccc(O)cc1,O=C(OC1C(O)C2(O)COC3OC(OC4OC(CO)C(O)C(O)C4O)C2C1C3)C5=CC=C(O)C=C5,VATOVCBALSEIIZ-LGBACTKYSA-N,,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,VATOVCBALSEIIZ,Catalpa
6,Catalpa bignonioides Walter,"(1aS)-1a,1balpha,2,5aalpha,6,6abeta-Hexahydro-2alpha-[6-O-(4-hydroxybenzoyl)-beta-D-glucopyranosyloxy]-1abeta-hydroxymethyloxireno[4,5]cyclopenta[1,2-c]pyran-6alpha-ol",O=C(OCC1OC(OC2OC=CC3C(O)C4OC4(CO)C23)C(O)C(O)C1O)c1ccc(O)cc1,O=C(OCC1OC(OC2OC=CC3C(O)C4OC4(CO)C23)C(O)C(O)C1O)c1ccc(O)cc1,O=C(OCC1OC(OC2OC=CC3C(O)C4OC4(CO)C23)C(O)C(O)C1O)C5=CC=C(O)C=C5,MWMWUAQALQTNGV-LHBWGZIGSA-N,,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,MWMWUAQALQTNGV,Catalpa
7,Catalpa bignonioides Walter,2-(4-Hydroxyphenyl)ethyl 2-O-[5-O-(4-hydroxybenzoyl)-D-apio-beta-D-furanosyl]-beta-D-glucopyranoside,O=C(OCC1(O)COC(OC2C(OCCc3ccc(O)cc3)OC(CO)C(O)C2O)C1O)c1ccc(O)cc1,O=C(OCC1(O)COC(OC2C(OCCc3ccc(O)cc3)OC(CO)C(O)C2O)C1O)c1ccc(O)cc1,O=C(OCC1(O)COC(OC2C(O)C(O)C(OC2OCCC3=CC=C(O)C=C3)CO)C1O)C4=CC=C(O)C=C4,MWVDTRFZEALNIG-JUKYQPCLSA-N,,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,MWVDTRFZEALNIG,Catalpa
8,Catalpa bignonioides Walter,4-hydroxybenzoic acid,O=C(O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1,OC(=O)c1ccc(O)cc1,FJKROLUGYXJWQN-UHFFFAOYSA-N,99-96-7,KNApSAcK,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,FJKROLUGYXJWQN,Catalpa
9,Catalpa bignonioides Walter,6-Hydroxyluteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(O)c12,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(O)c12,Oc1ccc(cc1O)C2=CC(=O)c3c(O)c(O)c(O)cc3O2,VYAKIUWQLHRZGK-UHFFFAOYSA-N,18003-33-3,KNApSAcK,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,VYAKIUWQLHRZGK,Catalpa
10,Catalpa bignonioides Walter,6-Hydroxyluteolin 7-glucoside,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c12,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c12,OC[C@H]1O[C@@H](Oc2cc3OC(=CC(=O)c3c(O)c2O)c4ccc(O)c(O)c4)[C@H](O)[C@@H](O)[C@@H]1O,HYPKUHLLPBGDLF-IAAKTDFRSA-N,54300-65-1,KNApSAcK,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,HYPKUHLLPBGDLF,Catalpa
11,Catalpa bignonioides Walter,Amphicoside,COc1cc(C(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)ccc1O,COc1cc(C(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)ccc1O,O=C(OC1C2OC2(CO)C3C(OC=CC13)OC4OC(CO)C(O)C(O)C4O)C5=CC=C(O)C(OC)=C5,AKNILCMFRRDTEY-UTPSRAKLSA-N,34779-62-9,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,AKNILCMFRRDTEY,Catalpa
12,Catalpa bignonioides Walter,D-fructopyranose,OCC1(O)OCC(O)C(O)C1O,OCC1(O)OCC(O)C(O)C1O,C1C(C(C(C(O1)(CO)O)O)O)O,LKDRXBCSQODPBY-VRPWFDPXSA-N,6347-01-9,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,LKDRXBCSQODPBY,Catalpa
13,Catalpa bignonioides Walter,D-glucopyranose,OCC1OC(O)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O,C(C1C(C(C(C(O1)O)O)O)O)O,WQZGKKKJIJFFOK-GASJEMHNSA-N,54-17-1,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,WQZGKKKJIJFFOK,Catalpa
14,Catalpa bignonioides Walter,Ladanein,COc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1,COc1ccc(cc1)C2=CC(=O)c3c(O)c(O)c(OC)cc3O2,UUQJTIHOVGMQIH-UHFFFAOYSA-N,10176-71-3,KNApSAcK,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,UUQJTIHOVGMQIH,Catalpa
15,Catalpa bignonioides Walter,Veronicoside,O=C(OC1C2C=COC(OC3OC(CO)C(O)C(O)C3O)C2C2(CO)OC12)c1ccccc1,O=C(OC1C2C=COC(OC3OC(CO)C(O)C(O)C3O)C2C2(CO)OC12)c1ccccc1,O=C(OC1C2OC2(CO)C3C(OC=CC13)OC4OC(CO)C(O)C(O)C4O)C=5C=CC=CC5,GOHHRVCULPSXEU-RWORTQBESA-N,,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,GOHHRVCULPSXEU,Catalpa
16,Catalpa bignonioides Walter,"[(1S,2S,4S,5S,6R,10S)-2-(Hydroxymethyl)-10-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,9-dioxatricyclo[4.4.0.02,4]dec-7-en-5-yl] 3,4-dimethoxybenzoate",COc1ccc(C(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)cc1OC,COc1ccc(C(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)cc1OC,O=C(OC1C2OC2(CO)C3C(OC=CC13)OC4OC(CO)C(O)C(O)C4O)C5=CC=C(OC)C(OC)=C5,JPLOCWOFCUFHBG-PIAIVMLOSA-N,56973-43-4,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,JPLOCWOFCUFHBG,Catalpa
17,Catalpa bignonioides Walter,"[(1S,4aR,5R,7S,7aS)-7-hydroxy-7-(hydroxymethyl)-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-5-yl] 4-hydroxybenzoate",O=C(OC1CC(O)(CO)C2C(OC3OC(CO)C(O)C(O)C3O)OC=CC12)c1ccc(O)cc1,O=C(OC1CC(O)(CO)C2C(OC3OC(CO)C(O)C(O)C3O)OC=CC12)c1ccc(O)cc1,O=C(OC1CC(O)(CO)C2C(OC=CC12)OC3OC(CO)C(O)C(O)C3O)C4=CC=C(O)C=C4,OTIAAGNDDJEMIJ-UKLNBOJVSA-N,,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,OTIAAGNDDJEMIJ,Catalpa
18,Catalpa bignonioides Walter,aldehydo-D-glucose,O=CC(O)C(O)C(O)C(O)CO,O=CC(O)C(O)C(O)C(O)CO,C(C(C(C(C(C=O)O)O)O)O)O,GZCGUPFRVQAUEE-SLPGGIOYSA-N,50-99-7,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,GZCGUPFRVQAUEE,Catalpa
19,Catalpa bignonioides Walter,catalpol,OCC1OC(OC2OC=CC3C(O)C4OC4(CO)C23)C(O)C(O)C1O,OCC1OC(OC2OC=CC3C(O)C4OC4(CO)C23)C(O)C(O)C1O,C1=COC(C2C1C(C3C2(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O,LHDWRKICQLTVDL-PZYDOOQISA-N,2415-24-9,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,LHDWRKICQLTVDL,Catalpa
20,Catalpa bignonioides Walter,keto-D-fructose,O=C(CO)C(O)C(O)C(O)CO,O=C(CO)C(O)C(O)C(O)CO,C(C(C(C(C(=O)CO)O)O)O)O,BJHIKXHVCXFQLS-UYFOZJQFSA-N,57-48-7,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,BJHIKXHVCXFQLS,Catalpa
21,Catalpa bignonioides Walter,minecoside,COc1ccc(C=CC(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)cc1O,COc1ccc(C=CC(=O)OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)cc1O,COC1=C(C=C(C=C1)C=CC(=O)OC2C3C=COC(C3C4(C2O4)CO)OC5C(C(C(C(O5)CO)O)O)O)O,LRHHPZILMPIMIY-GGKKSNITSA-N,,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,LRHHPZILMPIMIY,Catalpa
22,Catalpa bignonioides Walter,raffinose,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,512-69-6,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,MUPFEKGTMRGPLJ,Catalpa
23,Catalpa bignonioides Walter,sesamolin,c1cc2c(cc1OC1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,c1cc2c(cc1OC1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,C1C2C(COC2OC3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6,ZZMNWJVJUKMZJY-AFHBHXEDSA-N,526-07-8,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,ZZMNWJVJUKMZJY,Catalpa
24,Catalpa bignonioides Walter,sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,CZMRCDWAGMRECN-UGDNZRGBSA-N,57-50-1,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,CZMRCDWAGMRECN,Catalpa
25,Catalpa bignonioides Walter,trans-caffeic acid,O=C(O)C=Cc1ccc(O)c(O)c1,O=C(O)C=Cc1ccc(O)c(O)c1,C1=CC(=C(C=C1C=CC(=O)O)O)O,QAIPRVGONGVQAS-DUXPYHPUSA-N,331-39-5,WikiData,30194969-2,Catalpa bignonioides,Bignoniaceae,Species,Catalpa bignonioides,Catalpa bignonioides Walter,30194969-2,Catalpa,320352,Accepted,QAIPRVGONGVQAS,Catalpa
